,numberFire_FP,numberFire_CI,Ranks_Ovr.,Ranks_Pos.,Passing_C/A,Passing_Yds,Passing_TDs,Passing_Ints,Rushing_Att,Rushing_Yds,Rushing_TDs,Receiving_Rec,Receiving_Tgt,Receiving_Yds,Receiving_TDs
"Tre'Quan Smith  T. Smith  (WR, NO)",115.6,92.89-138.31,#124,#46,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.04,91.61,858.34,5.06
"Antonio Brown  A. Brown  (WR, TB)",114.74,92.12-137.36,#125,#47,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,69.03,108.29,735.46,6.94
"Marvin Jones  M. Jones  (WR, JAC)",114.7,92.08-137.32,#126,#48,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,61.1,95.66,820.1,5.4
"Mecole Hardman  M. Hardman  (WR, KC)",114.32,91.73-136.91,#127,#49,0.00/0.00,0.0,0.0,0.0,6.51,34.3,0.27,55.05,87.52,800.86,5.13
"Corey Davis  C. Davis  (WR, NYJ)",114.1,91.53-136.67,#128,#50,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,67.56,106.59,884.99,4.38
"Dallas Goedert  D. Goedert  (TE, PHI)",113.05,90.58-135.52,#129,#6,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,70.73,108.71,766.5,6.16
"Marquise Brown  M. Brown  (WR, BAL)",112.93,90.46-135.4,#130,#51,0.00/0.00,0.0,0.0,0.0,2.82,14.48,0.16,57.42,93.12,742.24,6.11
"Michael Carter II  M. Carter II  (RB, NYJ)",112.87,90.18-135.56,#131,#36,0.00/0.00,0.0,0.0,0.0,138.31,594.6,3.46,35.2,47.15,243.41,1.67
"T.J. Hockenson  T. Hockenson  (TE, DET)",112.23,89.82-134.64,#132,#7,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,79.64,117.43,815.46,5.23
"Kenyan Drake  K. Drake  (RB, LV)",111.21,88.65-133.77,#133,#37,0.00/0.00,0.0,0.0,0.0,134.9,593.28,4.4,27.76,38.25,200.47,1.2
"James Robinson  J. Robinson  (RB, JAC)",110.76,88.23-133.29,#134,#38,0.00/0.00,0.0,0.0,0.0,164.03,701.93,4.67,14.99,19.93,104.97,0.65
"Darnell Mooney  D. Mooney  (WR, CHI)",109.45,87.28-131.62,#135,#52,0.00/0.00,0.0,0.0,0.0,3.06,15.46,0.17,64.03,105.11,796.21,4.72
"Henry Ruggs  H. Ruggs  (WR, LV)",108.85,86.74-130.96,#136,#53,0.00/0.00,0.0,0.0,0.0,5.34,28.47,0.21,55.78,89.35,822.59,3.9
"A.J. Dillon  A. Dillon  (RB, GB)",107.9,85.6-130.2,#137,#39,0.00/0.00,0.0,0.0,0.0,146.49,620.44,4.35,19.43,25.67,143.42,1.0
"T.Y. Hilton  T. Hilton  (WR, IND)",107.64,85.62-129.66,#138,#54,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,57.47,98.34,778.89,4.99
"Tony Pollard  T. Pollard  (RB, DAL)",107.64,85.36-129.92,#138,#40,0.00/0.00,0.0,0.0,0.0,104.45,487.09,2.82,38.71,52.12,312.11,1.89
"David Johnson  D. Johnson  (RB, HOU)",107.13,84.9-129.36,#140,#41,0.00/0.00,0.0,0.0,0.0,133.11,539.95,4.18,29.15,43.39,226.26,1.33
"Russell Gage  R. Gage  (WR, ATL)",106.87,84.92-128.82,#141,#55,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,71.02,107.73,807.35,4.44
"Jaylen Waddle  J. Waddle  (WR, MIA)",106.55,84.63-128.47,#142,#56,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,66.49,102.26,769.49,5.08
"Michael Pittman Jr.  M. Pittman Jr.  (WR, IND)",106.41,84.5-128.32,#143,#57,0.00/0.00,0.0,0.0,0.0,0.93,4.75,0.0,61.9,103.16,749.51,5.22
"Emmanuel Sanders  E. Sanders  (WR, BUF)",106.13,84.24-128.02,#144,#58,0.00/0.00,0.0,0.0,0.0,4.3,22.96,0.2,59.83,91.41,742.43,4.81
"Latavius Murray  L. Murray  (RB, NO)",105.5,83.4-127.6,#145,#42,0.00/0.00,0.0,0.0,0.0,131.78,553.77,4.65,21.92,30.44,168.09,0.99
"Jalen Reagor  J. Reagor  (WR, PHI)",104.71,82.94-126.48,#146,#59,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,58.05,96.3,813.95,4.06
"Elijah Moore  E. Moore  (WR, NYJ)",104.37,82.63-126.11,#147,#60,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,64.0,99.37,780.93,4.54
"Noah Fant  N. Fant  (TE, DEN)",103.29,81.65-124.93,#148,#8,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,68.15,106.75,743.69,4.89
"James Conner  J. Conner  (RB, ARI)",101.72,79.91-123.53,#149,#43,0.00/0.00,0.0,0.0,0.0,133.34,563.16,4.49,23.2,30.34,158.65,0.99
"Logan Thomas  L. Thomas  (TE, WSH)",99.22,77.93-120.51,#150,#9,0.00/0.00,0.0,0.0,0.0,2.24,10.6,0.21,63.86,96.35,666.41,5.02
"Jamaal Williams  J. Williams  (RB, DET)",99.06,77.47-120.65,#151,#44,0.00/0.00,0.0,0.0,0.0,125.5,531.61,3.44,28.39,36.77,187.35,1.09
"Devin Singletary  D. Singletary  (RB, BUF)",98.28,76.74-119.82,#152,#45,0.00/0.00,0.0,0.0,0.0,108.32,475.08,3.53,30.33,42.31,206.63,1.62
"Breshad Perriman  B. Perriman  (WR, DET)",97.53,76.38-118.68,#153,#61,0.00/0.00,0.0,0.0,0.0,1.89,9.78,0.03,50.55,93.43,736.11,3.74
"Tyler Higbee  T. Higbee  (TE, LA)",97.42,76.27-118.57,#154,#10,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.23,85.35,648.86,5.45
"Allen Lazard  A. Lazard  (WR, GB)",93.44,72.63-114.25,#155,#62,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,52.05,79.26,675.94,4.35
"Gabriel Davis  G. Davis  (WR, BUF)",93.35,72.55-114.15,#156,#63,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,48.95,81.32,659.9,4.69
"Mike Gesicki  M. Gesicki  (TE, MIA)",92.27,71.56-112.98,#157,#11,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,61.8,96.42,607.7,5.37
"Rashod Bateman  R. Bateman  (WR, BAL)",92.08,71.39-112.77,#158,#64,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,55.03,85.37,661.35,4.62
"Rondale Moore  R. Moore  (WR, ARI)",92.04,71.35-112.73,#159,#65,0.00/0.00,0.0,0.0,0.0,2.33,11.83,0.12,55.2,84.6,682.38,3.8
"Robert Tonyan  R. Tonyan  (TE, GB)",91.28,70.66-111.9,#160,#12,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,52.7,76.07,585.31,5.48
"Cole Beasley  C. Beasley  (WR, BUF)",90.82,70.25-111.39,#161,#66,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,54.6,81.94,641.66,4.42
"DeSean Jackson  D. Jackson  (WR, LA)",90.59,70.04-111.14,#162,#67,0.00/0.00,0.0,0.0,0.0,9.28,47.26,0.38,38.36,66.77,604.33,3.85
"Tyrell Williams  T. Williams  (WR, DET)",89.65,69.17-110.13,#163,#68,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,51.37,80.93,690.73,3.52
"Parris Campbell  P. Campbell  (WR, IND)",88.63,68.24-109.02,#164,#69,0.00/0.00,0.0,0.0,0.0,0.93,4.77,0.0,51.19,82.89,615.34,4.62
"Sterling Shepard  S. Shepard  (WR, NYG)",87.88,67.55-108.21,#165,#70,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,66.24,99.4,654.28,3.77
"Evan Engram  E. Engram  (TE, NYG)",87.28,67.01-107.55,#166,#13,0.00/0.00,0.0,0.0,0.0,4.11,19.52,0.21,58.84,92.51,592.33,4.17
"Keelan Cole  K. Cole  (WR, NYJ)",87.16,66.9-107.42,#167,#71,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,53.83,90.15,652.65,3.86
"Van Jefferson  V. Jefferson  (WR, LA)",86.48,66.27-106.69,#168,#72,0.00/0.00,0.0,0.0,0.0,4.64,23.12,0.18,46.34,73.07,584.61,4.22
"A.J. Green  A. Green  (WR, ARI)",85.92,65.75-106.09,#169,#73,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,49.38,90.73,623.28,4.05
"Irv Smith Jr.  I. Smith Jr.  (TE, MIN)",85.92,65.76-106.08,#169,#14,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,53.05,82.55,555.29,5.1
"Terrace Marshall Jr.  T. Marshall  (WR, CAR)",85.44,65.33-105.55,#171,#74,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,54.58,89.8,612.84,4.16
"Blake Jarwin  B. Jarwin  (TE, DAL)",84.91,64.84-104.98,#172,#15,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,51.67,76.27,606.75,4.08
"Randall Cobb  R. Cobb  (WR, HOU)",84.58,64.53-104.63,#173,#75,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,49.64,74.66,641.73,3.56
"Anthony Miller  A. Miller  (WR, CHI)",84.53,64.49-104.57,#174,#76,0.00/0.00,0.0,0.0,0.0,4.53,23.71,0.18,50.85,84.1,591.35,3.84
"John Brown  J. Brown  (WR, LV)",83.52,63.56-103.48,#175,#77,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,42.95,79.76,620.73,3.57
"Phillip Lindsay  P. Lindsay  (RB, HOU)",83.36,63.01-103.71,#176,#46,0.00/0.00,0.0,0.0,0.0,110.84,491.77,3.25,16.44,22.86,104.39,0.7
"Jonnu Smith  J. Smith  (TE, NE)",82.71,62.83-102.59,#177,#16,0.00/0.00,0.0,0.0,0.0,0.51,2.38,0.02,50.03,78.43,558.09,4.44
"Hunter Henry  H. Henry  (TE, NE)",81.83,62.02-101.64,#178,#17,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,51.42,78.69,548.04,4.57
"Adam Trautman  A. Trautman  (TE, NO)",81.31,61.53-101.09,#179,#18,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,50.3,81.66,557.2,4.3
"Rob Gronkowski  R. Gronkowski  (TE, TB)",81.18,61.42-100.94,#180,#19,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,40.01,63.68,481.65,5.56
"Anthony Firkser  A. Firkser  (TE, TEN)",81.05,61.3-100.8,#181,#20,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,52.25,76.58,522.8,4.85
"James White  J. White  (RB, NE)",80.8,60.65-100.95,#182,#47,0.00/0.00,0.0,0.0,0.0,43.61,184.11,1.54,47.38,67.24,394.39,2.4
"Tevin Coleman  T. Coleman  (RB, NYJ)",80.77,60.63-100.91,#183,#48,0.00/0.00,0.0,0.0,0.0,114.65,489.06,3.22,12.59,17.28,91.11,0.56
"Jared Cook  J. Cook  (TE, LAC)",80.61,60.9-100.32,#184,#21,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,47.76,74.54,548.93,4.33
"Christian Kirk  C. Kirk  (WR, ARI)",80.13,60.46-99.8,#185,#78,0.00/0.00,0.0,0.0,0.0,2.33,11.96,0.11,49.63,77.69,580.69,3.41
"J.D. McKissic  J. McKissic  (RB, WSH)",78.93,58.93-98.93,#186,#49,0.00/0.00,0.0,0.0,0.0,57.08,241.79,1.49,46.73,62.5,353.55,2.02
